OBJECTID,S_ID,TAGID,CNAME1,CNAME2,CNAME3,GENUS,SPECIES,CULTIVAR,DIAMETER,HEIGHT,CRADAVG,TRUNKHEIGHT,Lat,Long
10562,11008,0,Magnolia,Saucer, ,Magnolia,x soulangeana, ,12.900000000000000,10.000000000000000,5.000000000000000,0,38.981729600919422,-76.939785282702161
10563,11013,0,Crabapple,Species, ,Malus,sp., ,3.100000000000000,7.000000000000000,2.100000000000000,4,38.987709805906611,-76.949880152882926
10564,14590,0,Magnolia,Star, ,Magnolia,stellata, ,4.300000000000000,0.000000000000000,0.000000000000000,0,38.987401972552234,-76.954277155684778
10565,11909,0,Birch,River, ,Betula,nigra, ,0.500000000000000,0.000000000000000,0.000000000000000,0,38.992082613482673,-76.948550787434826
10566,11963,0,Buckeye,Bottlebrush, ,Aesculus,parviflora, ,0.000000000000000,0.000000000000000,0.000000000000000,0,38.992718024974067,-76.947994675829705
10567,13775,0,Oak,Red, ,Quercus,rubra, ,2.000000000000000,13.000000000000000,7.100000000000000,4,39.003608434900748,-76.954353776757358
10568,13776,0,Oak,White, ,Quercus,alba, ,15.300000000000001,83.299999999999997,24.100000000000001,19,39.003844629679470,-76.953810588854637
10569,13984,0,Oak,Red, ,Quercus,rubra, ,6.800000000000000,44.100000000000001,14.500000000000000,9,39.003768578051108,-76.955082938888395
10570,12821,0,Maple,Japanese,Tamukeyama,Acer,palmatum,Tamukeyama,2.000000000000000,4.500000000000000,0.000000000000000,0,38.987646670516980,-76.944140206849710
10571,12194,0,Beech,European, ,Fagus,sylvatica, ,2.000000000000000,0.000000000000000,0.000000000000000,0,38.998680831765235,-76.942299542561599
10572,7917,0,Birch,River, ,Betula,nigra, ,3.600000000000000,0.000000000000000,0.000000000000000,0,38.997718952140652,-76.942085501452183
10573,11522,0,Maple,Red, ,Acer,rubrum, ,3.000000000000000,0.000000000000000,0.000000000000000,0,38.981533810922528,-76.944789598271385
10574,11541,0,Maple,Red, ,Acer,rubrum, ,4.200000000000000,0.000000000000000,0.000000000000000,0,38.981300356078997,-76.944457523280889
10575,7379,0,Hornbeam,European,Frans Fontaine,Carpinus,betulus,Frans Fontaine,5.900000000000000,0.000000000000000,0.000000000000000,0,38.992240799168172,-76.944813064112694
10576,13437,0,Maple,Red, ,Acer,rubrum, ,4.400000000000000,0.000000000000000,0.000000000000000,0,38.995232212052983,-76.943281838601493
10577,15412,0,Oak,Pin, ,Quercus,palustris, ,0.000000000000000,0.000000000000000,0.000000000000000,0,38.985296538157094,-76.952327635587622
10578,15415,0,Oak,Pin, ,Quercus,palustris, ,0.000000000000000,0.000000000000000,0.000000000000000,0,38.985567921128613,-76.952132852877497
10579,6851,0,Oak,Chestnut,Sugarloaf Mt. Seedling,Quercus,montana,Sugarloaf Mt. Seedling,0.000000000000000,1.000000000000000,0.000000000000000,0,38.992568657221277,-76.948095915785345
10580,13798,0,Oak,Chestnut, ,Quercus,montana, ,0.000000000000000,0.000000000000000,0.000000000000000,0,39.003527790976136,-76.954399983997476
10581,12100,0,Beech,American, ,Fagus,grandifolia, ,31.100000000000001,90.200000000000003,38.000000000000000,0,38.994458986703741,-76.934833686365153
10582,13778,0,Sweetgum,American, ,Liquidambar,styraciflua, ,7.700000000000000,28.000000000000000,11.100000000000000,10,39.003826873771231,-76.953712860394333
10583,13780,0,Oak,White, ,Quercus,alba, ,17.899999999999999,80.299999999999997,19.000000000000000,13,39.003802213910092,-76.953690169719366
10584,6602,2413,Oak,Red, ,Quercus,rubra, ,11.000000000000000,28.000000000000000,13.300000000000001,5,38.991110896426640,-76.946226346224449
10585,7816,3170,Elm,Lacebark, ,Ulmus,parvifolia, ,6.100000000000000,29.899999999999999,14.000000000000000,7,38.990492076165502,-76.950910343652751
10586,15110,633,Maple,Red, ,Acer,rubrum, ,10.800000000000001,35.000000000000000,16.399999999999999,6,38.984680734837838,-76.938269910021205
10587,15112,631,Oak,Pin, ,Quercus,palustris, ,28.000000000000000,62.000000000000000,22.100000000000001,8,38.984816308077903,-76.938544563001571
10588,6472,3188,Zelkova,Japanese, ,Zelkova,serrata, ,10.800000000000001,36.299999999999997,17.000000000000000,6,38.991006581642452,-76.949905529749898
10589,15074,23,Blackgum,Common, ,Nyssa,sylvatica, ,8.199999999999999,27.000000000000000,17.300000000000001,5,38.983718370752278,-76.937973483868205
10590,8543,0,Pine,Loblolly, ,Pinus,taeda, ,4.200000000000000,14.000000000000000,5.100000000000000,6,38.990254236042723,-76.944948228145137
10591,7926,1375,Zelkova,Japanese, ,Zelkova,serrata, ,15.100000000000000,24.000000000000000,9.600000000000000,6,38.990886521547083,-76.944213478130024
10592,14729,714,Pine,Eastern White, ,Pinus,strobus, ,13.900000000000000,47.000000000000000,20.600000000000001,1,38.986125690197348,-76.936927321418182
10593,14730,713,Zelkova,Japanese, ,Zelkova,serrata, ,19.600000000000001,43.000000000000000,24.100000000000001,7,38.986133230481670,-76.936966517603508
10594,15273,2638,Pine,Japanese Black, ,Pinus,thunbergii, ,17.800000000000001,13.000000000000000,10.199999999999999,5,38.984937601481953,-76.949802181903124
